锁屏开屏记录，来自tasker by elanworld
2019-5-6 00.52  清除成功
2019-5-6 01.04 锁屏
2019-5-6 01.04 开屏
2019-5-6 01.04 锁屏
2019-5-6 01.04 开屏
2019-5-6 01.20 锁屏
2019-5-6 01.20 开屏
2019-5-6 01.21 锁屏
2019-5-6 01.21 开屏
2019-5-6 01.37 开屏
2019-5-6 01.38 锁屏
2019-5-6 01.56 开屏
2019-5-6 02.03 开屏
2019-5-6 02.19 锁屏
2019-5-6 03.35 锁屏
2019-5-6 03.42 锁屏
2019-5-6 03.52 锁屏
2019-5-6 05.17 开屏
2019-5-6 09.05 开屏
2019-5-6 09.17 开屏
2019-5-6 09.20 锁屏
2019-5-6 09.20 开屏
2019-5-6 09.23 锁屏
2019-5-6 09.26 开屏
2019-5-6 09.59 锁屏
2019-5-6 10.01 开屏
2019-5-6 10.01 锁屏
2019-5-6 10.02 开屏
2019-5-6 10.03 锁屏
2019-5-6 10.03 开屏
2019-5-6 12.28 开屏
2019-5-6 12.33 锁屏
2019-5-6 12.35 开屏
2019-5-6 12.38 锁屏
2019-5-6 12.39 开屏
2019-5-6 12.57 锁屏
2019-5-6 12.58 开屏
2019-5-6 13.03 锁屏
2019-5-6 13.28 开屏
2019-5-6 13.32 锁屏
2019-5-6 13.48 开屏
2019-5-6 13.48 锁屏
2019-5-6 13.51 开屏
2019-5-6 13.51 锁屏
2019-5-6 13.55 开屏
2019-5-6 13.55 锁屏
2019-5-6 13.55 开屏
2019-5-6 13.57 锁屏
2019-5-6 14.10 开屏
2019-5-6 14.10 锁屏
2019-5-6 15.30 开屏
2019-5-6 15.48 锁屏
2019-5-6 16.19 开屏
2019-5-6 16.22 锁屏
2019-5-6 16.32 开屏
2019-5-6 16.34 锁屏
2019-5-6 16.38 开屏
2019-5-6 16.40 锁屏
2019-5-6 16.53 开屏
2019-5-6 16.55 锁屏
2019-5-6 17.11 开屏
2019-5-6 17.11 锁屏
2019-5-6 17.11 开屏
2019-5-6 18.01 锁屏
2019-5-6 18.01 开屏
2019-5-6 18.02 锁屏
2019-5-6 18.03 开屏
2019-5-6 18.03 锁屏
2019-5-6 18.03 开屏
2019-5-6 18.03 锁屏
2019-5-6 18.04 开屏
2019-5-6 18.04 锁屏
2019-5-6 18.05 开屏
2019-5-6 18.07 锁屏
2019-5-6 18.09 开屏
2019-5-6 18.09 锁屏
2019-5-6 18.09 开屏
2019-5-6 18.10 锁屏
2019-5-6 18.11 开屏
2019-5-6 18.11 锁屏
2019-5-6 18.11 开屏
2019-5-6 18.17 锁屏
2019-5-6 18.17 开屏
2019-5-6 18.19 锁屏
2019-5-6 18.19 开屏
2019-5-6 18.20 锁屏
2019-5-6 18.20 开屏
2019-5-6 18.20 锁屏
2019-5-6 18.20 开屏
2019-5-6 18.24 锁屏
2019-5-6 18.25 开屏
2019-5-6 18.25 锁屏
2019-5-6 18.26 开屏
2019-5-6 18.26 锁屏
2019-5-6 18.26 开屏
2019-5-6 18.32 锁屏
2019-5-6 18.34 开屏
2019-5-6 20.35 开屏
2019-5-6 20.38 锁屏
2019-5-6 20.38 开屏
2019-5-6 21.22 锁屏
2019-5-6 21.56 开屏
2019-5-6 22.03 开屏
2019-5-6 22.33 锁屏
2019-5-6 22.34 开屏
2019-5-6 23.47 锁屏
2019-5-6 23.48 开屏
2019-5-7 00.01 锁屏
2019-5-7 00.04 开屏
2019-5-7 00.34 开屏
2019-5-7 00.50 锁屏
2019-5-7 00.51 开屏
2019-5-7 01.07 开屏
2019-5-7 01.16 锁屏
2019-5-7 01.17 开屏
2019-5-7 01.57 开屏
2019-5-7 02.41 锁屏
2019-5-7 07.14 开屏
2019-5-7 07.15 锁屏
2019-5-7 07.41 开屏
2019-5-7 07.57 开屏
2019-5-7 07.57 开屏
2019-5-7 08.00 锁屏
2019-5-7 08.11 开屏
2019-5-7 08.11 锁屏
2019-5-7 08.11 开屏
2019-5-7 08.25 锁屏
2019-5-7 08.25 开屏
2019-5-7 08.38 锁屏
2019-5-7 08.41 开屏
2019-5-7 09.49 锁屏
2019-5-7 09.57 开屏
2019-5-7 10.02 锁屏
2019-5-7 10.10 开屏
2019-5-7 10.10 锁屏
2019-5-7 10.25 开屏
2019-5-7 10.28 锁屏
2019-5-7 10.35 开屏
2019-5-7 10.36 锁屏
2019-5-7 10.38 开屏
2019-5-7 10.38 锁屏
2019-5-7 11.14 开屏
2019-5-7 11.14 开屏
2019-5-7 11.14 开屏
2019-5-7 11.14 锁屏
2019-5-7 11.17 开屏
2019-5-7 11.17 开屏
2019-5-7 11.17 锁屏
2019-5-7 11.17 锁屏
2019-5-7 11.17 开屏
2019-5-7 11.17 锁屏
2019-5-7 11.17 开屏
2019-5-7 11.17 锁屏
2019-5-7 11.20 开屏
2019-5-7 11.20 锁屏
2019-5-7 11.20 开屏
2019-5-7 11.21 锁屏
2019-5-7 11.23 开屏
2019-5-7 11.23 锁屏
2019-5-7 11.23 开屏
2019-5-7 11.24 锁屏
2019-5-7 11.25 开屏
2019-5-7 11.25 锁屏
2019-5-7 11.25 开屏
2019-5-7 11.30 锁屏
2019-5-7 11.31 开屏
2019-5-7 11.31 锁屏
2019-5-7 11.31 开屏
2019-5-7 12.20 锁屏
2019-5-7 12.20 开屏
2019-5-7 12.20 开屏
2019-5-7 12.26 锁屏
2019-5-7 12.27 开屏
2019-5-7 12.27 锁屏
2019-5-7 12.28 开屏
2019-5-7 12.28 锁屏
2019-5-7 12.29 开屏
2019-5-7 12.30 锁屏
2019-5-7 12.30 开屏
2019-5-7 12.35 锁屏
2019-5-7 12.37 开屏
2019-5-7 12.37 锁屏
2019-5-7 12.37 开屏
2019-5-7 13.02 锁屏
2019-5-7 13.03 开屏
2019-5-7 13.03 锁屏
2019-5-7 13.06 开屏
2019-5-7 13.08 锁屏
2019-5-7 13.12 开屏
2019-5-7 13.55 锁屏
2019-5-7 13.55 开屏
2019-5-7 14.20 锁屏
2019-5-7 15.09 开屏
2019-5-7 16.23 开屏
2019-5-7 16.24 开屏
2019-5-7 16.25 开屏
2019-5-7 16.27 开屏
2019-5-7 16.31 开屏
2019-5-7 16.34 锁屏
2019-5-7 16.35 开屏
2019-5-7 16.44 开屏
2019-5-7 16.48 锁屏
2019-5-7 16.48 开屏
2019-5-7 16.52 锁屏
2019-5-7 16.52 开屏
2019-5-7 16.53 锁屏
2019-5-7 16.53 开屏
2019-5-7 16.53 锁屏
2019-5-7 16.54 开屏
2019-5-7 16.57 锁屏
2019-5-7 17.19 开屏
2019-5-7 17.20 锁屏
2019-5-7 17.20 开屏
2019-5-7 17.23 锁屏
2019-5-7 18.00 开屏
2019-5-7 18.01 锁屏
2019-5-7 18.06 开屏
2019-5-7 18.06 锁屏
2019-5-7 18.06 开屏
2019-5-7 18.08 锁屏
2019-5-7 18.16 开屏
2019-5-7 18.19 锁屏
2019-5-7 18.19 开屏
2019-5-7 18.33 锁屏
2019-5-7 18.35 开屏
2019-5-7 18.35 锁屏
2019-5-7 18.47 开屏
2019-5-7 18.47 锁屏
2019-5-7 18.56 开屏
2019-5-7 18.58 锁屏
2019-5-7 19.26 开屏
2019-5-7 19.36 锁屏
2019-5-7 19.36 开屏
